C1, 19.50, 38.00, 90.00, 10uF, 0805
C2, 16.50, 42.00, 270.00, 10uF, 0805
C3, 13.50, 39.00, 180.00, , 0402
D1, 19.00, 43.50, 90.00, , PMEG4030EP,115
D2, 14.00, 31.00, 180.00, RED, LED-0603
FID1, 12.50, 24.50, 0.00, FIDUCIAL_0.5MM, FIDUCIAL_0.5MM
FID2, 29.50, 24.50, 0.00, FIDUCIAL_0.5MM, FIDUCIAL_0.5MM
FID3, 29.50, 57.50, 0.00, FIDUCIAL_0.5MM, FIDUCIAL_0.5MM
L1, 26.00, 40.00, 90.00, 10uH, NR10050T100M
R1, 13.50, 40.50, 180.00, , 0402
R2, 13.50, 37.50, 0.00, 13.3k, 0402
R3, 13.50, 33.50, 0.00, 4k7, 0402
U1, 16.50, 38.00, 270.00, , SOT-23-5
